campaign	category	step	mean_loss	mean_auc	mean_anlp	x	embedding_dim	batch_size	state_size	lr	anlp_lr	l2_norm	alpha	beta
2997	TRAIN	100	1.077816	0.6876	3.8460	2.0626	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	100	0.696016	0.8407	8.3469	2.5046	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	200	0.559153	0.8342	2.7184	1.2147	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	200	0.475163	0.9063	8.4048	2.2512	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	300	0.423836	0.8802	2.3584	0.9803	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	400	0.404766	0.8692	2.3190	0.9495	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	500	0.428260	0.8672	2.2186	0.9576	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	500	0.380981	0.9201	7.7809	2.0134	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	600	0.366955	0.8850	1.8598	0.8123	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	700	0.374043	0.8908	1.7739	0.8036	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	800	0.370933	0.8903	1.7135	0.7878	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	900	0.328489	0.9012	1.5892	0.7120	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1000	0.367618	0.8859	1.7214	0.7854	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	1000	0.392387	0.9230	8.5038	2.1716	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1100	0.348178	0.8926	1.4817	0.7142	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1200	0.349542	0.8969	1.5189	0.7232	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1300	0.348163	0.8803	1.5358	0.7250	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1400	0.328889	0.9042	1.4564	0.6859	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1500	0.335085	0.8994	1.4295	0.6880	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	1500	0.401322	0.9236	9.0102	2.2836	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1600	0.304533	0.9085	1.3900	0.6434	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1700	0.336717	0.9083	1.4243	0.6889	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1800	0.330588	0.9043	1.3881	0.6743	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	1900	0.303715	0.9057	1.3907	0.6426	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2000	0.349885	0.9032	1.4289	0.7056	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	2000	0.299829	0.9234	7.6231	1.8844	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2100	0.290082	0.9190	1.3383	0.6158	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2200	0.318415	0.9058	1.3879	0.6597	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2300	0.314028	0.9185	1.3961	0.6561	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2400	0.309206	0.9166	1.3921	0.6495	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2500	0.332815	0.9110	1.4050	0.6804	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2600	0.293833	0.9214	1.3034	0.6133	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2700	0.264729	0.9431	1.2878	0.5752	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2800	0.281414	0.9416	1.3264	0.6030	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	2900	0.256653	0.9334	1.3006	0.5681	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3000	0.243319	0.9437	1.2934	0.5507	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3100	0.265639	0.9425	1.3258	0.5839	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3200	0.288991	0.9389	1.3475	0.6163	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3300	0.238824	0.9531	1.2716	0.5409	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3400	0.256088	0.9432	1.2511	0.5575	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3500	0.251595	0.9469	1.2583	0.5536	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3600	0.233828	0.9444	1.2706	0.5347	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3700	0.253947	0.9422	1.2801	0.5608	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3800	0.251039	0.9354	1.2170	0.5447	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	3900	0.230929	0.9529	1.1720	0.5115	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4000	0.234555	0.9552	1.1843	0.5183	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	4000	0.340083	0.9104	9.1962	2.2473	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4100	0.246687	0.9525	1.2487	0.5458	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4200	0.248468	0.9463	1.2567	0.5495	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4300	0.263200	0.9470	1.2739	0.5706	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4400	0.250294	0.9434	1.3202	0.5644	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4500	0.234344	0.9570	1.1598	0.5132	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4600	0.197394	0.9521	1.1491	0.4667	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4700	0.253131	0.9458	1.2746	0.5587	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4800	0.229691	0.9529	1.2417	0.5240	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	4900	0.250804	0.9507	1.2486	0.5507	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5000	0.235111	0.9467	1.2740	0.5369	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5100	0.219440	0.9567	1.1184	0.4870	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5200	0.242111	0.9550	1.1736	0.5253	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5300	0.236387	0.9567	1.2153	0.5267	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5400	0.251488	0.9490	1.2421	0.5502	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5500	0.222548	0.9483	1.2070	0.5085	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5600	0.257197	0.9430	1.2825	0.5651	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5700	0.216178	0.9571	1.1663	0.4927	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5800	0.224499	0.9570	1.1702	0.5034	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	5900	0.206182	0.9619	1.1494	0.4773	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6000	0.241948	0.9487	1.2344	0.5372	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TEST	6000	0.362130	0.9109	9.3700	2.3086	32	128	128	0.001000	0.001000	0.001	1.2	0.2
2997	TRAIN	6100	0.250491	0.9465	1.2483	0.5502	32	128	128	0.001000	0.001000	0.001	1.2	0.2
